Make,Model,Vehicle Class,Transmission,Power produce,CO2 Emissions(g/km)
AUDI,S7,MID-SIZE,A7,0.9939775990422762,2.44870631990508
AUDI,S8,MID-SIZE,AS8,1.0020759295412534,2.477121254719662
AUDI,SQ5,SUV - SMALL,AS8,0.8989446401706455,2.465382851448418
AUDI,TT COUPE QUATTRO,SUBCOMPACT,A6,0.6992272922716549,2.320146286111054
AUDI,TT ROADSTER QUATTRO,TWO-SEATER,A6,0.6992272922716549,2.320146286111054
AUDI,TTS COUPE QUATTRO,SUBCOMPACT,A6,0.7201219458121175,2.374748346010104
AUDI,TTS ROADSTER QUATTRO,TWO-SEATER,A6,0.7201219458121175,2.374748346010104
BENTLEY,CONTINENTAL GT,SUBCOMPACT,AS8,1.0098032112815822,2.4969296480732144
BENTLEY,CONTINENTAL GT,SUBCOMPACT,AS8,1.1778516647483874,2.551449997972875
BENTLEY,CONTINENTAL GTC,SUBCOMPACT,AS8,1.0195846654510201,2.521138083704036
BENTLEY,CONTINENTAL GTC,SUBCOMPACT,AS8,1.1883977748982626,2.57978359661681
BENTLEY,CONTINENTAL GT SPEED CONVERTIBLE,SUBCOMPACT,AS8,1.1883977748982626,2.57978359661681
BENTLEY,FLYING SPUR,MID-SIZE,AS8,1.1883977748982626,2.588831725594208
BENTLEY,MULSANNE,MID-SIZE,AS8,1.2564895005332217,2.640481436970421
BMW,320i,COMPACT,A8,0.6857254625864626,2.285557309007773
BMW,320i,COMPACT,M6,0.6916447653848239,2.301029995663981
BMW,320i xDRIVE,COMPACT,A8,0.6935725900301843,2.305351369446624
BMW,328i,COMPACT,A8,0.6857254625864626,2.285557309007773
BMW,328i,COMPACT,M6,0.6916447653848239,2.301029995663981
BMW,328i xDRIVE,COMPACT,A8,0.6992272922716549,2.320146286111054
BMW,328i xDRIVE GRAN TURISMO,FULL-SIZE,A8,0.6992272922716549,2.320146286111054
BMW,328i xDRIVE TOURING,STATION WAGON - SMALL,A8,0.6992272922716549,2.320146286111054
BMW,335i,COMPACT,A8,0.8517406260977086,2.34439227368511
BMW,335i,COMPACT,M6,0.858626595268946,2.3617278360175926
BMW,335i xDRIVE,COMPACT,A8,0.8569312762709129,2.357934847000453
BMW,335i xDRIVE,COMPACT,M6,0.8636126573995697,2.374748346010104
BMW,335i xDRIVE GRAN TURISMO,FULL-SIZE,A8,0.8603050451414658,2.3654879848908994
BMW,428i COUPE,COMPACT,A8,0.6857254625864626,2.285557309007773
BMW,428i COUPE,COMPACT,M6,0.6916447653848239,2.301029995663981
BMW,428i xDRIVE COUPE,COMPACT,A8,0.6992272922716549,2.320146286111054
BMW,435i COUPE,COMPACT,A8,0.8517406260977086,2.34439227368511
BMW,435i COUPE,COMPACT,M6,0.858626595268946,2.3617278360175926
BMW,435i xDRIVE COUPE,COMPACT,A8,0.8569312762709129,2.357934847000453
BMW,435i xDRIVE COUPE,COMPACT,M6,0.8636126573995697,2.374748346010104
BMW,528i,MID-SIZE,A8,0.6935725900301843,2.305351369446624
BMW,528i xDRIVE,MID-SIZE,A8,0.6992272922716549,2.320146286111054
BMW,535i xDRIVE,MID-SIZE,A8,0.8603050451414658,2.3654879848908994
BMW,535i xDRIVE GRAN TURISMO,FULL-SIZE,A8,0.8700394469199624,2.390935107103379
BMW,550i xDRIVE,MID-SIZE,A8,1.0277070747682178,2.44870631990508
BMW,550i xDRIVE GRAN TURISMO,FULL-SIZE,A8,1.0344823959719394,2.465382851448418
BMW,640i xDRIVE GRAN COUPE,COMPACT,A8,0.8603050451414658,2.3654879848908994
BMW,650i xDRIVE CABRIOLET,SUBCOMPACT,A8,1.0344823959719394,2.465382851448418
BMW,650i xDRIVE COUPE,COMPACT,A8,1.0277070747682178,2.44870631990508
BMW,650i xDRIVE GRAN COUPE,COMPACT,A8,1.0344823959719394,2.465382851448418
BMW,740Li xDRIVE,FULL-SIZE,A8,0.8700394469199624,2.390935107103379
BMW,750i xDRIVE,FULL-SIZE,A8,1.0344823959719394,2.465382851448418
BMW,750Li xDRIVE,FULL-SIZE,A8,1.0344823959719394,2.465382851448418
BMW,760Li,FULL-SIZE,A8,1.1778516647483874,2.551449997972875
BMW,ACTIVEHYBRID 3,COMPACT,A8,0.8271959964901514,2.281033367247727
BMW,ACTIVEHYBRID 5,MID-SIZE,A8,0.8463851661210375,2.3304137733491905
BMW,ACTIVEHYBRID 7L,FULL-SIZE,A8,0.8445615503011508,2.326335860928751
BMW,ALPINA B7 xDRIVE LWB,FULL-SIZE,A8,1.0344823959719394,2.465382851448418
BMW,ALPINA B7 xDRIVE SWB,FULL-SIZE,A8,1.0344823959719394,2.465382851448418
BMW,M5,MID-SIZE,AM7,1.059151499441076,2.5289167002776547
BMW,M5,MID-SIZE,M6,1.0484943041239134,2.501059262217751
BMW,M6,COMPACT,AM7,1.059151499441076,2.5289167002776547
BMW,M6,COMPACT,M6,1.0484943041239134,2.501059262217751
BMW,M6 CABRIOLET,SUBCOMPACT,AM7,1.059151499441076,2.5289167002776547
BMW,M6 CABRIOLET,SUBCOMPACT,M6,1.0484943041239134,2.501059262217751
BMW,M6 GRAN COUPE,COMPACT,AM7,1.059151499441076,2.5289167002776547
BMW,M6 GRAN COUPE,COMPACT,M6,1.0484943041239134,2.501059262217751
BMW,X1 xDRIVE28i,SUV - SMALL,A8,0.6992272922716549,2.320146286111054
BMW,X1 xDRIVE35i,SUV - SMALL,A6,0.8792426102630986,2.4149733479708178
BMW,X3 xDRIVE28i,SUV - SMALL,A8,0.7151358836814938,2.3617278360175926
BMW,X3 xDRIVE35i,SUV - SMALL,A8,0.8747037852139896,2.403120521175817
BMW,X5 xDRIVE35i,SUV - STANDARD,A8,0.8762303369939131,2.4065401804339546
BMW,X5 xDRIVE50i,SUV - STANDARD,A8,1.049712235916282,2.505149978319906
BMW,X6 M,SUV - STANDARD,A6,1.074496875568312,2.5682017240669945
BMW,X6 xDRIVE35i,SUV - STANDARD,A8,0.8879695297375799,2.437750562820388
BMW,X6 xDRIVE50i,SUV - STANDARD,A8,1.0521220314773227,2.510545010206612
BMW,Z4 sDRIVE28i,TWO-SEATER,A8,0.6992272922716549,2.320146286111054
BMW,Z4 sDRIVE28i,TWO-SEATER,M6,0.6916447653848239,2.301029995663981
BMW,Z4 sDRIVE35i,TWO-SEATER,AM7,0.8907809751590333,2.444044795918076
BMW,Z4 sDRIVE35i,TWO-SEATER,M6,0.8747037852139896,2.403120521175817
BMW,Z4 sDRIVE35is,TWO-SEATER,AM7,0.8907809751590333,2.444044795918076
BUICK,ENCLAVE,SUV - STANDARD,A6,0.9580684037532349,2.45178643552429
BUICK,ENCLAVE AWD,SUV - STANDARD,A6,0.962133246719038,2.462397997898956
BUICK,ENCORE,SUV - SMALL,AS6,0.5614974518487438,2.2922560713564755
BUICK,ENCORE AWD,SUV - SMALL,AS6,0.5748465582818288,2.326335860928751
BUICK,LACROSSE,MID-SIZE,AS6,0.9467241084211584,2.421603926869831
BUICK,LACROSSE AWD,MID-SIZE,AS6,0.9467241084211584,2.421603926869831
BUICK,LACROSSE eASSIST,MID-SIZE,AS6,0.7461826941443142,2.276461804173244
BUICK,REGAL,MID-SIZE,AS6,0.7134405646834607,2.357934847000453
BUICK,REGAL,MID-SIZE,M6,0.7117280340308614,2.3521825181113623
BUICK,REGAL AWD,MID-SIZE,AS6,0.7265487353325102,2.390935107103379
BUICK,REGAL eASSIST,MID-SIZE,AS6,0.7461826941443142,2.276461804173244
BUICK,VERANO,COMPACT,AS6,0.7134405646834607,2.357934847000453
BUICK,VERANO,COMPACT,M6,0.7117280340308614,2.3521825181113623
BUICK,VERANO,COMPACT,AS6,0.7710056606387317,2.3384564936046046
CADILLAC,ATS,COMPACT,AS6,0.7082499145102564,2.34439227368511
CADILLAC,ATS,COMPACT,M6,0.7184762467057291,2.371067862271736
CADILLAC,ATS,COMPACT,AS6,0.7763320118022147,2.3159703454569174
CADILLAC,ATS,COMPACT,AS6,0.9376853666526646,2.399673721481037
CADILLAC,ATS AWD,COMPACT,AS6,0.7168143335540136,2.3654879848908994
CADILLAC,ATS AWD,COMPACT,AS6,0.943764684786753,2.4149733479708178
CADILLAC,CTS COUPE,MID-SIZE,AS6,0.9422652720657617,2.41161970596323
CADILLAC,CTS COUPE AWD,MID-SIZE,AS6,0.9452508866512994,2.418301291319745
CADILLAC,CTS SEDAN,MID-SIZE,AS6,0.7168143335540136,2.3654879848908994
CADILLAC,CTS SEDAN,MID-SIZE,AS8,0.9361306752746393,2.394451680826216
CADILLAC,CTS SEDAN AWD,MID-SIZE,AS6,0.7281178891635326,2.394451680826216
CADILLAC,CTS SEDAN AWD,MID-SIZE,AS6,0.943764684786753,2.4149733479708178
CADILLAC,CTS SEDAN Vsport,MID-SIZE,AS8,0.9647897239895555,2.468347330412157
CADILLAC,CTS SPORT WAGON,STATION WAGON - SMALL,AS6,0.8747037852139896,2.403120521175817
CADILLAC,CTS SPORT WAGON,STATION WAGON - SMALL,AS6,0.943764684786753,2.4149733479708178
CADILLAC,CTS SPORT WAGON AWD,STATION WAGON - SMALL,AS6,0.8762303369939131,2.4065401804339546
CADILLAC,CTS SPORT WAGON AWD,STATION WAGON - SMALL,AS6,0.9452508866512994,2.418301291319745
CADILLAC,CTS-V COUPE,MID-SIZE,AS6,1.2010210536776362,2.5820633629117085
CADILLAC,CTS-V COUPE,MID-SIZE,M6,1.1816603961599292,2.531478917042255
CADILLAC,CTS-V SEDAN,MID-SIZE,AS6,1.2010210536776362,2.5820633629117085
CADILLAC,CTS-V SEDAN,MID-SIZE,M6,1.1816603961599292,2.531478917042255
CADILLAC,CTS-V SPORT WAGON,STATION WAGON - SMALL,AS6,1.2010210536776362,2.5820633629117085
CADILLAC,CTS-V SPORT WAGON,STATION WAGON - SMALL,M6,1.1816603961599292,2.531478917042255
CADILLAC,ESCALADE AWD,SUV - STANDARD,A6,1.180516779437606,2.5289167002776547
CADILLAC,ESCALADE ESV AWD,SUV - STANDARD,A6,1.1989763883955964,2.5763413502057926
CADILLAC,SRX,SUV - STANDARD,AS6,0.9580684037532349,2.45178643552429
CADILLAC,SRX AWD,SUV - STANDARD,AS6,0.9647897239895555,2.468347330412157
CADILLAC,XTS,FULL-SIZE,AS6,0.9452508866512994,2.418301291319745
CADILLAC,XTS AWD,FULL-SIZE,AS6,0.9510681120968153,2.4329692908744054
CADILLAC,XTS Vsport AWD,FULL-SIZE,AS6,0.962133246719038,2.462397997898956
CHEVROLET,CAMARO,COMPACT,AS6,0.9422652720657617,2.41161970596323
CHEVROLET,CAMARO,COMPACT,M6,0.9496325049598318,2.429752280002408
CHEVROLET,CAMARO 2LS,COMPACT,AS6,0.9313787322939224,2.383815365980431
CHEVROLET,CAMARO SS,COMPACT,AS6,1.1571706852637247,2.468347330412157
CHEVROLET,CAMARO SS,COMPACT,M6,1.1558476759684693,2.465382851448418
CHEVROLET,CAMARO ZL1,COMPACT,AS6,1.2010210536776362,2.5820633629117085
CHEVROLET,CAMARO ZL1,COMPACT,M6,1.1816603961599292,2.531478917042255
CHEVROLET,CORVETTE,TWO-SEATER,AS6,1.1462841454918853,2.4409090820652173
CHEVROLET,CORVETTE,TWO-SEATER,M7,1.134646233339931,2.41161970596323
CHEVROLET,CRUZE,MID-SIZE,AS6,0.5470004403953865,2.252853030979893
CHEVROLET,CRUZE,MID-SIZE,M6,0.5470004403953865,2.252853030979893
CHEVROLET,CRUZE,MID-SIZE,AS6,0.6562863844784866,2.305351369446624
CHEVROLET,CRUZE,MID-SIZE,M6,0.6443744140689617,2.276461804173244
CHEVROLET,CRUZE ECO,MID-SIZE,A6,0.5448238576745209,2.2479732663618064
CHEVROLET,CRUZE ECO,MID-SIZE,M6,0.5311393719666846,2.2121876044039577
CHEVROLET,EQUINOX,SUV - SMALL,A6,0.7637493667953096,2.320146286111054
CHEVROLET,EQUINOX,SUV - SMALL,A6,0.9539031842177161,2.4409090820652173
CHEVROLET,EQUINOX AWD,SUV - SMALL,A6,0.7796579582051484,2.3617278360175926
CHEVROLET,EQUINOX AWD,SUV - SMALL,A6,0.962133246719038,2.462397997898956
CHEVROLET,IMPALA,FULL-SIZE,AS6,0.7872185515740542,2.34439227368511
CHEVROLET,IMPALA,FULL-SIZE,AS6,0.9329776335583047,2.387389826338729
CHEVROLET,IMPALA ECO,FULL-SIZE,AS6,0.7561668399084785,2.301029995663981
CHEVROLET,MALIBU,MID-SIZE,AS6,0.7134405646834607,2.357934847000453
CHEVROLET,MALIBU,MID-SIZE,AS6,0.7564640371489384,2.2648178230095364
CHEVROLET,ORLANDO,SUV - SMALL,AS6,0.7894869219708525,2.387389826338729
CHEVROLET,ORLANDO,SUV - SMALL,M6,0.7829983212293836,2.371067862271736
CHEVROLET,SONIC,COMPACT,AS6,0.5512711196532709,2.2648178230095364
CHEVROLET,SONIC,COMPACT,M6,0.5403845798814316,2.2380461031287955
CHEVROLET,SONIC,COMPACT,AS6,0.6464190793510015,2.281033367247727
CHEVROLET,SONIC,COMPACT,M5,0.6380873700732205,2.2600713879850747
CHEVROLET,SONIC RS,COMPACT,AS6,0.5574810044708295,2.281033367247727
CHEVROLET,SONIC RS,COMPACT,M6,0.5512711196532709,2.2648178230095364
CHEVROLET,SONIC 5,MID-SIZE,AS6,0.5512711196532709,2.2648178230095364
CHEVROLET,SONIC 5,MID-SIZE,M6,0.5403845798814316,2.2355284469075487
CHEVROLET,SONIC 5,MID-SIZE,AS6,0.6464190793510015,2.281033367247727
CHEVROLET,SONIC 5,MID-SIZE,M5,0.6380873700732205,2.2600713879850747
CHEVROLET,SONIC 5 RS,MID-SIZE,AS6,0.5574810044708295,2.281033367247727
CHEVROLET,SONIC 5 RS,MID-SIZE,M6,0.5512711196532709,2.2648178230095364
CHEVROLET,SPARK,SUBCOMPACT,AV,0.4717668982063562,2.201397124320452
CHEVROLET,SPARK,SUBCOMPACT,M5,0.4717668982063562,2.201397124320452
CHEVROLET,SUBURBAN,SUV - STANDARD,A6,1.1143543448492572,2.501059262217751
CHEVROLET,SUBURBAN 4WD,SUV - STANDARD,A6,1.1143543448492572,2.501059262217751
CHEVROLET,TAHOE,SUV - STANDARD,A6,1.1143543448492572,2.501059262217751
CHEVROLET,TAHOE 4WD,SUV - STANDARD,A6,1.1143543448492572,2.501059262217751
CHEVROLET,TRAVERSE,SUV - STANDARD,A6,0.9580684037532349,2.45178643552429
CHEVROLET,TRAVERSE AWD,SUV - STANDARD,A6,0.962133246719038,2.462397997898956
CHEVROLET,TRAX,SUV - SMALL,AS6,0.5595011821545929,2.285557309007773
CHEVROLET,TRAX,SUV - SMALL,M6,0.5533665853634704,2.2695129442179165
CHEVROLET,TRAX AWD,SUV - SMALL,AS6,0.5711390943065473,2.3159703454569174
CHRYSLER,300,FULL-SIZE,A8,0.9281347319232243,2.374748346010104
CHRYSLER,200 CONVERTIBLE,COMPACT,A4,0.7813364080776681,2.3654879848908994
CHRYSLER,200 CONVERTIBLE,COMPACT,A6,0.7910708098561647,2.390935107103379
CHRYSLER,200 CONVERTIBLE FFV,COMPACT,A6,0.9313787322939224,2.383815365980431
CHRYSLER,200 SEDAN,MID-SIZE,A4,0.7762501085545159,2.3521825181113623
CHRYSLER,200 SEDAN,MID-SIZE,A6,0.7796579582051484,2.3617278360175926
CHRYSLER,200 SEDAN FFV,MID-SIZE,A6,0.9313787322939224,2.383815365980431
CHRYSLER,300 (MDS),FULL-SIZE,A5,1.1274143731180857,2.468347330412157
CHRYSLER,300 AWD,FULL-SIZE,A8,0.9376853666526646,2.399673721481037
CHRYSLER,300 AWD (MDS),FULL-SIZE,A5,1.135141654858415,2.488550716500444
CHRYSLER,300 AWD FFV,FULL-SIZE,A8,0.9376853666526646,2.399673721481037
CHRYSLER,300 FFV,FULL-SIZE,A8,0.9281347319232243,2.374748346010104
CHRYSLER,300 SRT (MDS),FULL-SIZE,A5,1.181095182996979,2.501059262217751
DODGE,AVENGER,MID-SIZE,A4,0.7762501085545159,2.3521825181113623
DODGE,AVENGER,MID-SIZE,A6,0.7796579582051484,2.3617278360175926
DODGE,AVENGER FFV,MID-SIZE,A6,0.9313787322939224,2.383815365980431
DODGE,CHALLENGER,MID-SIZE,A5,0.9422652720657617,2.41161970596323
DODGE,CHALLENGER,MID-SIZE,M6,1.1313222580187543,2.478566495593843
DODGE,CHALLENGER (MDS),MID-SIZE,A5,1.1274143731180857,2.468347330412157
DODGE,CHALLENGER SRT,MID-SIZE,M6,1.1823131147893475,2.505149978319906
DODGE,CHALLENGER SRT (MDS),MID-SIZE,A5,1.181095182996979,2.501059262217751
DODGE,CHARGER,FULL-SIZE,A5,0.9422652720657617,2.41161970596323
DODGE,CHARGER,FULL-SIZE,A8,0.9281347319232243,2.374748346010104
DODGE,CHARGER (MDS),FULL-SIZE,A5,1.1274143731180857,2.468347330412157
DODGE,CHARGER AWD,FULL-SIZE,A8,0.9376853666526646,2.399673721481037
DODGE,CHARGER AWD (MDS),FULL-SIZE,A5,1.135141654858415,2.488550716500444
DODGE,CHARGER AWD FFV,FULL-SIZE,A8,0.9376853666526646,2.399673721481037
DODGE,CHARGER FFV,FULL-SIZE,A5,0.9422652720657617,2.41161970596323
DODGE,CHARGER FFV,FULL-SIZE,A8,0.9264890328168357,2.371067862271736
DODGE,CHARGER SRT (MDS),FULL-SIZE,A5,1.181095182996979,2.501059262217751
DODGE,DART,MID-SIZE,M6,0.6795908657953401,2.2695129442179165
DODGE,DART,MID-SIZE,A6,0.7542167277793796,2.296665190261531
DODGE,DART,MID-SIZE,M6,0.7580946645538389,2.305351369446624
DODGE,DART FFV,MID-SIZE,A6,0.6896946532557251,2.296665190261531
DODGE,DART GT,MID-SIZE,A6,0.7655929132373531,2.326335860928751
DODGE,DART GT,MID-SIZE,M6,0.7580946645538389,2.305351369446624
DODGE,DART TURBO AERO,MID-SIZE,AM6,0.5358253071905704,2.2253092817258624
DODGE,DART TURBO AERO,MID-SIZE,M6,0.5358253071905704,2.2253092817258624
DODGE,DURANGO AWD (MDS),SUV - STANDARD,A8,1.147282347771362,2.5198279937757184
DODGE,DURANGO AWD FFV,SUV - STANDARD,A8,0.9553030496826879,2.444044795918076
DODGE,JOURNEY,SUV - SMALL,A4,0.7972616999301155,2.4065401804339546
DODGE,JOURNEY AWD,SUV - SMALL,A6,0.9594342640128842,2.45484486000851
DODGE,JOURNEY FFV,SUV - SMALL,A6,0.9539031842177161,2.4409090820652173
FIAT,500 ABARTH CABRIO,MINICOMPACT,M5,0.5470004403953865,2.252853030979893
FIAT,500 ABARTH HATCHBACK,MINICOMPACT,M5,0.5470004403953865,2.252853030979893
FIAT,500 CABRIO,MINICOMPACT,A6,0.5491492951930486,2.2600713879850747
FIAT,500 CABRIO,MINICOMPACT,M5,0.5334986107101942,2.220108088040055
FIAT,500 CABRIO TURBO,MINICOMPACT,M5,0.5470004403953865,2.252853030979893
FIAT,500 HATCHBACK,MINICOMPACT,A6,0.5491492951930486,2.2600713879850747
FIAT,500 HATCHBACK,MINICOMPACT,M5,0.5238569682523907,2.1931245983544616
FIAT,500 HATCHBACK TURBO,MINICOMPACT,M5,0.5470004403953865,2.252853030979893
FIAT,500L TURBO,STATION WAGON - SMALL,AM6,0.5654204849529543,2.301029995663981
FIAT,500L TURBO,STATION WAGON - SMALL,M6,0.5595011821545929,2.285557309007773
FORD,C-MAX HYBRID,FULL-SIZE,AV,0.6289683767169483,2.1398790864012365
FORD,EDGE,SUV - SMALL,A6,0.7117280340308614,2.3521825181113623
FORD,EDGE,SUV - SMALL,AS6,0.9261612374582651,2.394451680826216
FORD,EDGE AWD,SUV - SMALL,AS6,0.936754670604784,2.421603926869831
FORD,EDGE AWD,SUV - SMALL,AS6,0.9663876613676408,2.44870631990508
FORD,ESCAPE,SUV - SMALL,AS6,0.6202586552078575,2.320146286111054
FORD,ESCAPE,SUV - SMALL,AS6,0.7082499145102564,2.34439227368511
FORD,ESCAPE,SUV - SMALL,AS6,0.7836672031309058,2.3344537511509307
FORD,ESCAPE AWD,SUV - SMALL,AS6,0.6239258174697877,2.3304137733491905
FORD,ESCAPE AWD,SUV - SMALL,AS6,0.7151358836814938,2.3617278360175926
FORD,EXPEDITION 4X4 FFV,SUV - STANDARD,A6,1.1459209191733608,2.5658478186735176
FORD,EXPLORER,SUV - STANDARD,A6,0.7184762467057291,2.371067862271736
FORD,EXPLORER AWD,SUV - STANDARD,AS6,0.9574355760865341,2.4756711883244296
FORD,EXPLORER FFV,SUV - STANDARD,AS6,0.9425221664448602,2.437750562820388
FORD,EXPLORER FFV AWD,SUV - STANDARD,AS6,0.9508197155725793,2.4593924877592306
FORD,FIESTA,SUBCOMPACT,AS6,0.5898744654549265,2.2430380486862944
FORD,FIESTA,SUBCOMPACT,M5,0.5898744654549265,2.2430380486862944
FORD,FIESTA SFE,SUBCOMPACT,M5,0.39974657499918753,2.181843587944772
FORD,FIESTA SFE,SUBCOMPACT,AS6,0.5760023110975494,2.206825876031849
FORD,FIESTA ST,COMPACT,M6,0.5985267630213431,2.2648178230095364
FORD,FLEX,SUV - STANDARD,AS6,0.936754670604784,2.421603926869831
FORD,FLEX AWD,SUV - STANDARD,AS6,0.9453336118663135,2.444044795918076
FORD,FLEX AWD (EcoBoost),SUV - STANDARD,AS6,0.9548202861731813,2.468347330412157
FORD,FOCUS,COMPACT,M6,0.6954786308800178,2.311753861055754
FORD,FOCUS FFV,COMPACT,A6,0.6710481381063906,2.2479732663618064
FORD,FOCUS FFV,COMPACT,AS6,0.6732247208272563,2.252853030979893
FORD,FOCUS FFV,COMPACT,M5,0.6774954000851406,2.2648178230095364
FORD,FOCUS SFE FFV,COMPACT,A6,0.659722891142064,2.220108088040055
FORD,FUSION,MID-SIZE,AS6,0.5859134522052613,2.2922560713564755
FORD,FUSION,MID-SIZE,M6,0.6006222287315426,2.2695129442179165
FORD,FUSION,MID-SIZE,AS6,0.697363374738417,2.3159703454569174
FORD,FUSION,MID-SIZE,AS6,0.7744472679438155,2.311753861055754
FORD,FUSION (Start/Stop),MID-SIZE,AS6,0.577782585719988,2.2695129442179165
FORD,FUSION AWD,MID-SIZE,AS6,0.7046985660671081,2.3344537511509307
FORD,FUSION HYBRID,MID-SIZE,AV,0.6142910522368763,2.1003705451175625
FORD,MUSTANG,SUBCOMPACT,A6,0.936185300693898,2.371067862271736
FORD,MUSTANG,SUBCOMPACT,M6,0.942673901435367,2.387389826338729
FORD,MUSTANG,SUBCOMPACT,A6,1.0629789510366539,2.421603926869831
FORD,MUSTANG,SUBCOMPACT,M6,1.0797215573097954,2.465382851448418
FORD,MUSTANG,SUBCOMPACT,M6,1.138759815621303,2.482873583608753
FORD,MUSTANG CONVERTIBLE,SUBCOMPACT,A6,0.942673901435367,2.387389826338729
FORD,TAURUS,FULL-SIZE,AS6,0.6992272922716549,2.320146286111054
FORD,TAURUS AWD,FULL-SIZE,AS6,0.941098674280441,2.4329692908744054
FORD,TAURUS FFV,FULL-SIZE,AS6,0.91816529410685,2.374748346010104
FORD,TAURUS FFV AWD,FULL-SIZE,AS6,0.9322958342493874,2.41161970596323
GMC,ACADIA,SUV - STANDARD,A6,0.9580684037532349,2.45178643552429
GMC,ACADIA AWD,SUV - STANDARD,A6,0.9661024373883004,2.4727564493172123
GMC,TERRAIN,SUV - SMALL,A6,0.7637493667953096,2.320146286111054
GMC,TERRAIN,SUV - SMALL,A6,0.9539031842177161,2.4409090820652173
