Make,Model,Vehicle Class,Engine Size(L),Cylinders,Transmission,Fuel Consumption City,Fuel Consumption Hwy,Fuel Consumption Comb,CO2 Emissions(g/km)
RAM,1500 DIESEL,PICKUP TRUCK - STANDARD,3.0,6.0,A8,11.6,8.4,10.2,275.0
VOLKSWAGEN,BEETLE TDI (modified),COMPACT,2.0,4.0,A6,8.4,5.9,7.4,200.0
VOLKSWAGEN,BEETLE TDI (modified),COMPACT,2.0,4.0,M6,8.8,6.1,7.7,208.0
VOLKSWAGEN,GOLF WAGON TDI (modified),STATION WAGON - SMALL,2.0,4.0,A6,8.1,6.4,7.4,198.0
VOLKSWAGEN,GOLF WAGON TDI (modified),STATION WAGON - SMALL,2.0,4.0,M6,8.3,6.0,7.3,196.0
VOLKSWAGEN,JETTA TDI (modified),COMPACT,2.0,4.0,A6,8.1,6.4,7.4,198.0
VOLKSWAGEN,JETTA TDI (modified),COMPACT,2.0,4.0,M6,8.3,6.0,7.3,196.0
VOLKSWAGEN,PASSAT TDI (modified),MID-SIZE,2.0,4.0,A6,7.8,5.9,6.9,180.0
VOLKSWAGEN,TOUAREG TDI (modified),SUV - STANDARD,3.0,6.0,AS8,11.8,8.1,10.2,277.0
AUDI,A3 TDI (modified),SUBCOMPACT,2.0,4.0,AM6,7.6,5.5,6.5,177.0
AUDI,A6 QUATTRO TDI (modified),MID-SIZE,3.0,6.0,AS8,9.8,6.2,8.1,217.0
AUDI,A7 QUATTRO TDI (modified),MID-SIZE,3.0,6.0,AS8,9.8,6.2,8.1,217.0
AUDI,A8 TDI (modified),MID-SIZE,3.0,6.0,AS8,9.8,6.5,8.4,224.0
AUDI,A8L TDI (modified),FULL-SIZE,3.0,6.0,AS8,9.8,6.5,8.4,224.0
AUDI,Q5 TDI (modified),SUV - SMALL,3.0,6.0,AS8,10.2,7.8,9.0,244.0
AUDI,Q7 TDI (modified),SUV - STANDARD,3.0,6.0,AS8,12.4,8.7,10.7,290.0
BMW,328d xDRIVE SEDAN,COMPACT,2.0,4.0,AS8,7.6,5.5,6.7,181.0
BMW,328d xDRIVE TOURING,STATION WAGON - SMALL,2.0,4.0,AS8,7.6,5.5,6.7,181.0
BMW,535d xDRIVE SEDAN,MID-SIZE,3.0,6.0,AS8,9.2,6.3,7.9,213.0
BMW,740Ld xDRIVE SEDAN,FULL-SIZE,3.0,6.0,AS8,10.2,7.1,8.8,238.0
BMW,X3 xDRIVE28d,SUV - SMALL,2.0,4.0,AS8,8.6,6.9,7.9,213.0
BMW,X5 xDRIVE35d,SUV - STANDARD,3.0,6.0,AS8,9.9,7.2,8.7,235.0
CHEVROLET,CRUZE DIESEL,MID-SIZE,2.0,4.0,AS6,8.7,5.1,7.1,192.0
JEEP,GRAND CHEROKEE 4X4 DIESEL,SUV - STANDARD,3.0,6.0,A8,11.2,8.4,9.9,267.0
MERCEDES-BENZ,E 250 BLUETEC 4MATIC,MID-SIZE,2.1,4.0,AS7,8.6,5.9,7.4,200.0
MERCEDES-BENZ,GL 350 BLUETEC 4MATIC,SUV - STANDARD,3.0,6.0,AS7,13.6,10.0,12.0,324.0
MERCEDES-BENZ,GLK 250 BLUETEC 4MATIC,SUV - SMALL,2.1,4.0,AS7,9.6,7.0,8.5,230.0
MERCEDES-BENZ,ML 350 BLUETEC 4MATIC,SUV - STANDARD,3.0,6.0,AS7,11.8,8.5,10.3,278.0
PORSCHE,CAYENNE DIESEL (modified),SUV - STANDARD,3.0,6.0,A8,11.8,8.1,10.2,277.0
RAM,1500 ECODIESEL,PICKUP TRUCK - STANDARD,3.0,6.0,A8,11.5,8.4,10.1,273.0
RAM,1500 ECODIESEL HFE,PICKUP TRUCK - STANDARD,3.0,6.0,A8,11.3,8.0,9.8,265.0
RAM,1500 4X4 ECODIESEL,PICKUP TRUCK - STANDARD,3.0,6.0,A8,12.1,8.8,10.6,286.0
VOLKSWAGEN,BEETLE TDI (modified),COMPACT,2.0,4.0,AM6,7.6,5.7,6.9,183.0
VOLKSWAGEN,BEETLE TDI (modified),COMPACT,2.0,4.0,M6,7.6,5.7,6.9,184.0
VOLKSWAGEN,GOLF TDI (modified),COMPACT,2.0,4.0,AM6,7.6,5.5,6.5,177.0
VOLKSWAGEN,GOLF TDI (modified),COMPACT,2.0,4.0,M6,7.8,5.2,6.5,178.0
VOLKSWAGEN,GOLF SPORTWAGON TDI (modified),STATION WAGON - SMALL,2.0,4.0,AM6,7.6,5.6,6.7,180.0
VOLKSWAGEN,GOLF SPORTWAGON TDI (modified),STATION WAGON - SMALL,2.0,4.0,M6,7.6,5.5,6.7,179.0
VOLKSWAGEN,JETTA TDI (modified),COMPACT,2.0,4.0,AM6,7.6,5.2,6.5,175.0
VOLKSWAGEN,JETTA TDI (modified),COMPACT,2.0,4.0,M6,7.6,5.1,6.5,176.0
VOLKSWAGEN,PASSAT TDI (modified),MID-SIZE,2.0,4.0,AM6,7.8,5.6,6.9,185.0
VOLKSWAGEN,PASSAT TDI (modified),MID-SIZE,2.0,4.0,M6,7.8,5.3,6.7,182.0
VOLKSWAGEN,TOUAREG TDI (modified),SUV - STANDARD,3.0,6.0,AS8,11.8,8.1,10.2,277.0
AUDI,A6 QUATTRO TDI (modified),MID-SIZE,3.0,6.0,AS8,9.4,6.2,7.8,213.0
AUDI,A7 QUATTRO TDI (modified),MID-SIZE,3.0,6.0,AS8,9.4,6.2,7.8,213.0
AUDI,A8 QUATTRO TDI (modified),MID-SIZE,3.0,6.0,AS8,9.8,6.5,8.4,224.0
AUDI,Q5 QUATTRO TDI (modified),SUV - SMALL,3.0,6.0,AS8,10.2,7.8,9.0,244.0
BMW,328d xDRIVE,COMPACT,2.0,4.0,AS8,7.7,5.7,6.8,183.0
BMW,328d xDRIVE TOURING,STATION WAGON - SMALL,2.0,4.0,AS8,7.7,5.7,6.8,183.0
BMW,535d xDRIVE,MID-SIZE,3.0,6.0,AS8,9.2,6.3,7.9,212.0
BMW,X3 xDRIVE28d,SUV - SMALL,2.0,4.0,AS8,8.6,6.9,7.9,211.0
BMW,X5 xDRIVE35d,SUV - STANDARD,3.0,6.0,AS8,10.0,7.6,8.9,233.0
CHEVROLET,COLORADO,PICKUP TRUCK - SMALL,2.8,4.0,A6,10.8,7.7,9.4,252.0
CHEVROLET,COLORADO 4WD,PICKUP TRUCK - SMALL,2.8,4.0,A6,12.0,8.2,10.3,277.0
GMC,CANYON,PICKUP TRUCK - SMALL,2.8,4.0,A6,10.8,7.7,9.4,252.0
GMC,CANYON 4WD,PICKUP TRUCK - SMALL,2.8,4.0,A6,12.0,8.2,10.3,277.0
JEEP,GRAND CHEROKEE 4X4 DIESEL,SUV - STANDARD,3.0,6.0,A8,11.2,8.4,9.9,267.0
LAND ROVER,RANGE ROVER TD6 DIESEL,SUV - STANDARD,3.0,6.0,AS8,10.6,8.1,9.4,254.0
LAND ROVER,RANGE ROVER SPORT TD6 DIESEL,SUV - STANDARD,3.0,6.0,AS8,10.6,8.1,9.4,254.0
MERCEDES-BENZ,E 250 BLUETEC 4MATIC,MID-SIZE,2.1,4.0,AS7,8.6,6.0,7.4,200.0
MERCEDES-BENZ,GL 350 BLUETEC 4MATIC,SUV - STANDARD,3.0,6.0,AS7,13.6,10.0,12.0,322.0
MERCEDES-BENZ,GLE 350d 4MATIC,SUV - STANDARD,3.0,6.0,A9,10.1,8.0,9.2,246.0
MERCEDES-BENZ,GLE 350d 4MATIC COUPE,SUV - STANDARD,3.0,6.0,A9,10.4,8.2,9.4,253.0
PORSCHE,CAYENNE DIESEL (modified),SUV - STANDARD,3.0,6.0,A8,11.2,8.4,9.8,270.0
RAM,1500 ECODIESEL,PICKUP TRUCK - STANDARD,3.0,6.0,A8,11.6,8.4,10.2,272.0
RAM,1500 ECODIESEL HFE,PICKUP TRUCK - STANDARD,3.0,6.0,A8,11.3,8.0,9.8,264.0
RAM,1500 4X4 ECODIESEL,PICKUP TRUCK - STANDARD,3.0,6.0,A8,12.1,8.8,10.6,283.0
VOLKSWAGEN,TOUAREG TDI (modified),SUV - STANDARD,3.0,6.0,AS8,11.2,8.4,9.8,270.0
BMW,328d xDRIVE,COMPACT,2.0,4.0,AS8,7.9,5.9,7.0,189.0
BMW,328d xDRIVE TOURING,STATION WAGON - SMALL,2.0,4.0,AS8,7.9,5.9,7.0,189.0
BMW,X3 xDRIVE28d,SUV - SMALL,2.0,4.0,AS8,8.7,7.1,8.0,211.0
BMW,X5 xDRIVE35d,SUV - STANDARD,3.0,6.0,AS8,10.3,8.0,9.3,249.0
CHEVROLET,COLORADO,PICKUP TRUCK - SMALL,2.8,4.0,A6,10.8,7.9,9.5,255.0
CHEVROLET,COLORADO 4WD,PICKUP TRUCK - SMALL,2.8,4.0,A6,12.1,8.4,10.4,280.0
CHEVROLET,COLORADO ZR2 4WD,PICKUP TRUCK - SMALL,2.8,4.0,A6,12.5,10.7,11.7,315.0
CHEVROLET,CRUZE DIESEL,COMPACT,1.6,4.0,A9,7.6,5.0,6.4,172.0
CHEVROLET,CRUZE DIESEL,COMPACT,1.6,4.0,M6,7.7,4.5,6.3,169.0
GMC,CANYON,PICKUP TRUCK - SMALL,2.8,4.0,A6,10.8,7.9,9.5,255.0
GMC,CANYON 4WD,PICKUP TRUCK - SMALL,2.8,4.0,A6,12.1,8.4,10.4,280.0
JAGUAR,XE 20d AWD,COMPACT,2.0,4.0,AS8,7.8,5.8,6.9,186.0
JAGUAR,XF 20d AWD,MID-SIZE,2.0,4.0,AS8,7.8,5.8,6.9,186.0
RAM,1500 ECODIESEL,PICKUP TRUCK - STANDARD,3.0,6.0,A8,11.8,8.6,10.4,278.0
RAM,1500 4X4 ECODIESEL,PICKUP TRUCK - STANDARD,3.0,6.0,A8,12.3,8.8,10.8,289.0
BMW,328d xDRIVE,COMPACT,2.0,4.0,AS8,7.8,5.9,7.0,184.0
BMW,328d xDRIVE TOURING,STATION WAGON - SMALL,2.0,4.0,AS8,7.8,5.9,7.0,184.0
BMW,X5 xDRIVE35d,SUV - STANDARD,3.0,6.0,AS8,10.3,8.0,9.3,246.0
CHEVROLET,COLORADO,PICKUP TRUCK - SMALL,2.8,4.0,A6,10.8,8.0,9.6,257.0
CHEVROLET,COLORADO 4WD,PICKUP TRUCK - SMALL,2.8,4.0,A6,12.1,8.3,10.4,279.0
CHEVROLET,COLORADO ZR2 4WD,PICKUP TRUCK - SMALL,2.8,4.0,A6,12.5,10.7,11.7,315.0
CHEVROLET,CRUZE DIESEL,COMPACT,1.6,4.0,A9,7.7,5.0,6.5,175.0
CHEVROLET,CRUZE DIESEL,COMPACT,1.6,4.0,M6,7.8,4.6,6.3,170.0
CHEVROLET,CRUZE HATCHBACK DIESEL,MID-SIZE,1.6,4.0,A9,7.8,5.2,6.6,178.0
CHEVROLET,CRUZE HATCHBACK DIESEL,MID-SIZE,1.6,4.0,M6,8.1,4.9,6.7,180.0
CHEVROLET,EQUINOX,SUV - SMALL,1.6,4.0,A6,8.5,6.0,7.4,198.0
CHEVROLET,EQUINOX AWD,SUV - SMALL,1.6,4.0,A6,8.5,6.1,7.4,198.0
FORD,F-150,PICKUP TRUCK - STANDARD,3.0,6.0,AS10,10.8,8.0,9.5,256.0
FORD,F-150 (LT Tire Pkg),PICKUP TRUCK - STANDARD,3.0,6.0,AS10,10.8,8.4,9.7,260.0
FORD,F-150 4X4,PICKUP TRUCK - STANDARD,3.0,6.0,AS10,11.8,9.3,10.7,288.0
FORD,F-150 4X4 (LT Tire Pkg),PICKUP TRUCK - STANDARD,3.0,6.0,AS10,11.8,9.3,10.7,288.0
FORD,F-150 4X4 XL/XLT,PICKUP TRUCK - STANDARD,3.0,6.0,AS10,11.2,8.4,9.9,266.0
GMC,CANYON,PICKUP TRUCK - SMALL,2.8,4.0,A6,10.8,8.0,9.6,257.0
GMC,CANYON 4WD,PICKUP TRUCK - SMALL,2.8,4.0,A6,12.1,8.3,10.4,279.0
GMC,TERRAIN,SUV - SMALL,1.6,4.0,A6,8.5,6.0,7.4,198.0
GMC,TERRAIN AWD,SUV - SMALL,1.6,4.0,A6,8.5,6.1,7.4,198.0
JAGUAR,F-PACE 20d,SUV - SMALL,2.0,4.0,AS8,8.9,7.2,8.1,218.0
JAGUAR,XE 20d AWD,COMPACT,2.0,4.0,AS8,7.8,5.8,6.9,186.0
JAGUAR,XF 20d AWD,MID-SIZE,2.0,4.0,AS8,7.8,5.8,6.9,186.0
JEEP,GRAND CHEROKEE 4X4,SUV - STANDARD,3.0,6.0,A8,11.2,8.5,10.0,268.0
LAND ROVER,RANGE ROVER VELAR,SUV - SMALL,2.0,4.0,AS8,9.2,7.8,8.5,229.0
RAM,1500 ECODIESEL,PICKUP TRUCK - STANDARD,3.0,6.0,A8,11.8,8.6,10.4,278.0
RAM,1500 4X4 ECODIESEL,PICKUP TRUCK - STANDARD,3.0,6.0,A8,12.3,8.8,10.8,289.0
CHEVROLET,Colorado,PICKUP TRUCK - SMALL,2.8,4.0,A6,11.8,7.9,10.1,270.0
CHEVROLET,Colorado 4WD,PICKUP TRUCK - SMALL,2.8,4.0,A6,12.2,8.4,10.5,283.0
CHEVROLET,Colorado ZR2 4WD,PICKUP TRUCK - SMALL,2.8,4.0,A6,13.3,10.6,12.1,326.0
CHEVROLET,Cruze Diesel,COMPACT,1.6,4.0,A9,7.6,4.9,6.4,172.0
CHEVROLET,Cruze Hatchback Diesel,MID-SIZE,1.6,4.0,A9,7.8,5.2,6.6,178.0
CHEVROLET,Equinox,SUV - SMALL,1.6,4.0,A6,8.5,6.0,7.4,199.0
CHEVROLET,Equinox AWD,SUV - SMALL,1.6,4.0,A6,8.5,6.1,7.4,199.0
FORD,F-150,PICKUP TRUCK - STANDARD,3.0,6.0,AS10,10.8,8.0,9.5,256.0
FORD,F-150 (LT Tire Pkg),PICKUP TRUCK - STANDARD,3.0,6.0,AS10,10.8,8.4,9.7,260.0
FORD,F-150 4X4,PICKUP TRUCK - STANDARD,3.0,6.0,AS10,11.8,9.3,10.7,287.0
FORD,F-150 4X4 (LT Tire Pkg),PICKUP TRUCK - STANDARD,3.0,6.0,AS10,11.8,9.3,10.7,287.0
FORD,F-150 4X4 XL/XLT,PICKUP TRUCK - STANDARD,3.0,6.0,AS10,11.2,8.3,9.9,266.0
GMC,Canyon,PICKUP TRUCK - SMALL,2.8,4.0,A6,11.8,7.9,10.1,270.0
GMC,Canyon 4WD,PICKUP TRUCK - SMALL,2.8,4.0,A6,12.2,8.4,10.5,283.0
GMC,Terrain,SUV - SMALL,1.6,4.0,A6,8.5,6.0,7.4,199.0
GMC,Terrain AWD,SUV - SMALL,1.6,4.0,A6,8.5,6.1,7.4,199.0
JAGUAR,F-PACE 20d,SUV - SMALL,2.0,4.0,AS8,8.9,7.2,8.1,218.0
JAGUAR,XE 20d AWD,COMPACT,2.0,4.0,AS8,7.8,5.8,6.9,186.0
JAGUAR,XF 20d AWD,MID-SIZE,2.0,4.0,AS8,7.8,5.8,6.9,186.0
JEEP,Grand Cherokee 4X4 EcoDiesel,SUV - STANDARD,3.0,6.0,A8,11.2,8.5,10.0,268.0
LAND ROVER,Discovery TD6 Diesel,SUV - STANDARD,3.0,6.0,AS8,11.3,9.2,10.4,279.0
LAND ROVER,Range Rover TD6 Diesel,SUV - STANDARD,3.0,6.0,AS8,10.7,8.3,9.6,256.0
LAND ROVER,Range Rover Sport TD6 Diesel,SUV - STANDARD,3.0,6.0,AS8,10.7,8.3,9.6,256.0
LAND ROVER,Range Rover Velar D180,SUV - SMALL,2.0,4.0,AS8,9.2,7.8,8.5,229.0
MAZDA,CX-5 Diesel 4WD,SUV - SMALL,2.2,4.0,AS6,8.9,7.9,8.4,227.0
RAM,1500 Classic EcoDiesel,PICKUP TRUCK - STANDARD,3.0,6.0,A8,11.8,8.6,10.4,278.0
RAM,1500 Classic 4X4 EcoDiesel,PICKUP TRUCK - STANDARD,3.0,6.0,A8,12.3,8.8,10.8,289.0
CHEVROLET,Colorado,PICKUP TRUCK - SMALL,2.8,4.0,A6,11.8,7.9,10.1,270.0
CHEVROLET,Colorado 4WD,PICKUP TRUCK - SMALL,2.8,4.0,A6,12.3,8.5,10.6,284.0
CHEVROLET,Colorado ZR2 4WD,PICKUP TRUCK - SMALL,2.8,4.0,A6,13.3,10.6,12.1,326.0
CHEVROLET,Silverado,PICKUP TRUCK - STANDARD,3.0,6.0,A10,10.2,7.2,8.9,238.0
CHEVROLET,Silverado 4WD,PICKUP TRUCK - STANDARD,3.0,6.0,A10,10.4,8.0,9.4,252.0
FORD,F-150,PICKUP TRUCK - STANDARD,3.0,6.0,AS10,11.1,8.3,9.8,264.0
FORD,F-150 (LT Tire Pkg),PICKUP TRUCK - STANDARD,3.0,6.0,AS10,11.1,8.3,9.8,264.0
FORD,F-150 4X4,PICKUP TRUCK - STANDARD,3.0,6.0,AS10,11.9,9.4,10.8,290.0
FORD,F-150 4X4 XL/XLT,PICKUP TRUCK - STANDARD,3.0,6.0,AS10,11.3,8.5,10.0,270.0
GMC,Canyon,PICKUP TRUCK - SMALL,2.8,4.0,A6,11.8,7.9,10.1,270.0
GMC,Canyon 4WD,PICKUP TRUCK - SMALL,2.8,4.0,A6,12.3,8.5,10.6,284.0
GMC,Sierra,PICKUP TRUCK - STANDARD,3.0,6.0,A10,10.2,7.8,9.1,245.0
GMC,Sierra 4WD,PICKUP TRUCK - STANDARD,3.0,6.0,A10,10.5,9.1,9.9,265.0
GMC,Sierra 4WD AT4,PICKUP TRUCK - STANDARD,3.0,6.0,A10,10.5,9.1,9.9,265.0
JEEP,Wrangler Unlimited 4X4 EcoDiesel,SUV - SMALL,3.0,6.0,A8,10.6,8.1,9.5,255.0
LAND ROVER,Discovery TD6 Diesel,SUV - STANDARD,3.0,6.0,AS8,11.3,9.2,10.4,279.0
LAND ROVER,Range Rover TD6 Diesel,SUV - STANDARD,3.0,6.0,AS8,10.7,8.3,9.6,256.0
LAND ROVER,Range Rover Sport TD6 Diesel,SUV - STANDARD,3.0,6.0,AS8,10.7,8.3,9.6,256.0
RAM,1500 EcoDiesel,PICKUP TRUCK - STANDARD,3.0,6.0,A8,10.5,7.3,9.0,243.0
RAM,1500 4X4 EcoDiesel,PICKUP TRUCK - STANDARD,3.0,6.0,A8,11.1,8.0,9.7,260.0
