Make,Model,Vehicle Class,Engine Size(L),Cylinders,Transmission,Fuel Consumption City,Fuel Consumption Hwy,Fuel Consumption Comb,CO2 Emissions(g/km)
FORD,F-150 FFV 4X4,PICKUP TRUCK - STANDARD,5.0,8.0,AS6,22.4,16.9,19.9,318.0
FORD,FOCUS FFV,COMPACT,2.0,4.0,A6,11.7,8.5,10.3,165.0
FORD,FOCUS FFV,COMPACT,2.0,4.0,AS6,11.7,8.5,10.3,165.0
FORD,FOCUS FFV,COMPACT,2.0,4.0,M5,11.9,8.9,10.6,170.0
FORD,FOCUS SFE FFV,COMPACT,2.0,4.0,A6,11.6,8.3,10.1,162.0
FORD,TAURUS FFV,FULL-SIZE,3.5,6.0,AS6,17.0,11.1,14.3,229.0
FORD,TAURUS FFV AWD,FULL-SIZE,3.5,6.0,AS6,18.4,12.5,15.7,251.0
GMC,SAVANA 1500 CARGO,VAN - CARGO,5.3,8.0,A4,23.5,17.7,20.9,334.0
GMC,SAVANA 1500 CARGO AWD,VAN - CARGO,5.3,8.0,A4,23.7,18.8,21.5,344.0
GMC,SAVANA 1500 CARGO CONV,VAN - CARGO,5.3,8.0,A4,23.9,18.5,21.5,344.0
GMC,SAVANA 1500 CARGO CONV AWD,VAN - CARGO,5.3,8.0,A4,25.3,19.3,22.6,362.0
GMC,SAVANA 1500 PASSENGER,VAN - PASSENGER,5.3,8.0,A4,23.9,18.5,21.5,344.0
GMC,SAVANA 1500 PASSENGER AWD,VAN - PASSENGER,5.3,8.0,A4,25.3,19.3,22.6,362.0
GMC,SAVANA 2500 PASSENGER,VAN - PASSENGER,6.0,8.0,A6,30.0,20.4,25.7,411.0
GMC,SAVANA 3500 PASSENGER,VAN - PASSENGER,6.0,8.0,A6,30.2,20.5,25.8,413.0
GMC,SIERRA,PICKUP TRUCK - STANDARD,4.3,6.0,A6,18.9,14.2,16.8,269.0
GMC,SIERRA,PICKUP TRUCK - STANDARD,5.3,8.0,A6,19.5,13.7,16.9,270.0
GMC,SIERRA 4WD,PICKUP TRUCK - STANDARD,4.3,6.0,A6,20.0,15.1,17.8,285.0
GMC,SIERRA 4WD,PICKUP TRUCK - STANDARD,5.3,8.0,A6,19.9,14.2,17.3,277.0
GMC,TERRAIN,SUV - SMALL,3.6,6.0,A6,18.8,13.1,16.2,259.0
GMC,TERRAIN AWD,SUV - SMALL,3.6,6.0,A6,19.8,13.6,17.0,272.0
GMC,YUKON,SUV - STANDARD,5.3,8.0,A6,21.5,14.6,18.4,294.0
GMC,YUKON 4WD,SUV - STANDARD,5.3,8.0,A6,21.5,14.6,18.4,294.0
GMC,YUKON DENALI AWD,SUV - STANDARD,6.2,8.0,A6,23.3,16.1,20.1,322.0
GMC,YUKON DENALI XL AWD,SUV - STANDARD,6.2,8.0,A6,25.7,17.8,22.1,354.0
GMC,YUKON XL,SUV - STANDARD,5.3,8.0,A6,21.5,14.6,18.4,294.0
GMC,YUKON XL 4WD,SUV - STANDARD,5.3,8.0,A6,21.5,14.6,18.4,294.0
JAGUAR,XFR,MID-SIZE,5.0,8.0,AS8,21.3,14.1,18.1,290.0
JAGUAR,XJ SUPERCHARGED,FULL-SIZE,5.0,8.0,AS8,20.6,13.6,17.5,280.0
JAGUAR,XJL SUPERCHARGED,FULL-SIZE,5.0,8.0,AS8,20.6,13.6,17.5,280.0
JEEP,GRAND CHEROKEE 4X4 FFV,SUV - STANDARD,3.6,6.0,A8,17.7,13.0,15.6,250.0
LAND ROVER,RANGE ROVER LWB V8 5.0 SC FFV,SUV - STANDARD,5.0,8.0,AS8,25.0,16.9,21.4,342.0
LAND ROVER,RANGE ROVER SPORT V6 3.0 SC FFV,SUV - STANDARD,3.0,6.0,AS8,19.4,14.9,17.4,278.0
LAND ROVER,RANGE ROVER SPORT V8 5.0 SC FFV,SUV - STANDARD,5.0,8.0,AS8,24.0,16.6,20.7,331.0
LAND ROVER,RANGE ROVER V6 3.0 SC FFV,SUV - STANDARD,3.0,6.0,AS8,19.4,14.8,17.3,277.0
LAND ROVER,RANGE ROVER V8 5.0 SC FFV,SUV - STANDARD,5.0,8.0,AS8,25.0,16.9,21.4,342.0
LINCOLN,NAVIGATOR 4X4 FFV,SUV - STANDARD,5.4,8.0,A6,24.5,18.0,21.6,346.0
MERCEDES-BENZ,C 300 4MATIC FFV,COMPACT,3.5,6.0,AS7,16.4,11.1,14.0,224.0
MERCEDES-BENZ,ML 350 4MATIC FFV,SUV - STANDARD,3.5,6.0,AS7,17.8,13.8,16.0,256.0
RAM,1500 4X4 FFV,PICKUP TRUCK - STANDARD,3.6,6.0,A8,20.5,14.5,17.8,285.0
RAM,1500 FFV,PICKUP TRUCK - STANDARD,3.6,6.0,A8,19.4,13.6,16.8,269.0
RAM,CARGO VAN FFV,MINIVAN,3.6,6.0,A6,18.6,12.7,15.9,254.0
BUICK,LACROSSE,MID-SIZE,3.6,6.0,AS6,18.7,12.4,15.8,253.0
BUICK,LACROSSE AWD,MID-SIZE,3.6,6.0,AS6,18.6,12.6,15.9,254.0
CHEVROLET,EQUINOX FFV,SUV - SMALL,2.4,4.0,A6,15.6,10.8,13.4,214.0
CHEVROLET,EQUINOX AWD FFV,SUV - SMALL,2.4,4.0,A6,16.3,11.6,14.2,227.0
CHEVROLET,EXPRESS 2500 PASSENGER FFV,VAN - PASSENGER,6.0,8.0,A6,30.3,20.5,25.9,414.0
CHEVROLET,EXPRESS 3500 PASSENGER FFV,VAN - PASSENGER,6.0,8.0,A6,30.6,20.6,26.1,418.0
CHEVROLET,IMPALA,FULL-SIZE,3.6,6.0,AS6,17.0,11.5,14.5,232.0
CHEVROLET,SILVERADO,PICKUP TRUCK - STANDARD,4.3,6.0,A6,19.3,14.3,17.1,274.0
CHEVROLET,SILVERADO,PICKUP TRUCK - STANDARD,5.3,8.0,A6,19.9,13.8,17.2,275.0
CHEVROLET,SILVERADO 4WD,PICKUP TRUCK - STANDARD,4.3,6.0,A6,20.3,15.2,18.0,288.0
CHEVROLET,SILVERADO 4WD,PICKUP TRUCK - STANDARD,5.3,8.0,A6,20.2,14.3,17.5,280.0
CHEVROLET,SUBURBAN,SUV - STANDARD,5.3,8.0,A6,20.2,13.6,17.2,275.0
CHEVROLET,SUBURBAN 4WD,SUV - STANDARD,5.3,8.0,A6,22.1,15.4,19.1,306.0
CHEVROLET,TAHOE,SUV - STANDARD,5.3,8.0,A6,20.2,13.6,17.2,275.0
CHEVROLET,TAHOE 4WD,SUV - STANDARD,5.3,8.0,A6,20.5,14.0,17.6,282.0
CHRYSLER,200 FFV,MID-SIZE,2.4,4.0,A9,13.6,8.5,11.3,181.0
CHRYSLER,200 FFV,MID-SIZE,3.6,6.0,A9,16.5,10.1,13.6,218.0
CHRYSLER,200 AWD FFV,MID-SIZE,3.6,6.0,A9,16.9,10.8,14.1,226.0
CHRYSLER,300 FFV,FULL-SIZE,3.6,6.0,A8,16.8,10.3,13.9,222.0
CHRYSLER,300 AWD FFV,FULL-SIZE,3.6,6.0,A8,17.3,11.7,14.8,237.0
CHRYSLER,TOWN & COUNTRY FFV,MINIVAN,3.6,6.0,A6,19.7,13.3,16.8,269.0
DODGE,CHARGER FFV,FULL-SIZE,3.6,6.0,A5,18.7,12.4,15.9,254.0
DODGE,CHARGER FFV,FULL-SIZE,3.6,6.0,A8,16.8,10.3,13.9,222.0
DODGE,CHARGER AWD FFV,FULL-SIZE,3.6,6.0,A8,17.3,11.7,14.8,237.0
DODGE,DART FFV,MID-SIZE,2.0,4.0,A6,13.3,9.3,11.5,184.0
DODGE,DURANGO AWD FFV,SUV - STANDARD,3.6,6.0,A8,17.7,13.0,15.6,250.0
DODGE,GRAND CARAVAN FFV,MINIVAN,3.6,6.0,A6,19.2,13.1,16.4,262.0
DODGE,JOURNEY FFV,SUV - SMALL,3.6,6.0,A6,18.9,12.9,16.2,259.0
FORD,EXPLORER FFV,SUV - STANDARD,3.5,6.0,AS6,18.6,13.0,16.1,258.0
FORD,EXPLORER FFV AWD,SUV - STANDARD,3.5,6.0,AS6,19.2,14.1,16.9,270.0
FORD,F-150 FFV,PICKUP TRUCK - STANDARD,3.5,6.0,A6,17.9,13.0,15.7,251.0
FORD,F-150 FFV,PICKUP TRUCK - STANDARD,5.0,8.0,AS6,20.7,14.3,17.9,286.0
FORD,F-150 FFV 4X4,PICKUP TRUCK - STANDARD,3.5,6.0,A6,18.9,14.2,16.8,269.0
FORD,F-150 FFV 4X4,PICKUP TRUCK - STANDARD,5.0,8.0,AS6,21.7,15.1,18.7,299.0
FORD,FOCUS FFV,COMPACT,2.0,4.0,AM6,11.9,8.5,10.4,166.0
FORD,FOCUS FFV,COMPACT,2.0,4.0,AS6,12.2,8.6,10.6,170.0
FORD,FOCUS FFV,COMPACT,2.0,4.0,M5,12.4,9.1,10.9,174.0
FORD,T-150 WAGON FFV,VAN - PASSENGER,3.7,6.0,AS6,22.1,16.7,19.7,315.0
FORD,TAURUS FFV,FULL-SIZE,3.5,6.0,AS6,17.4,11.3,14.7,235.0
FORD,TAURUS FFV AWD,FULL-SIZE,3.5,6.0,AS6,18.8,12.6,16.0,256.0
GMC,SAVANA 2500 PASSENGER FFV,VAN - PASSENGER,6.0,8.0,A6,30.3,20.5,25.9,414.0
GMC,SAVANA 3500 PASSENGER FFV,VAN - PASSENGER,6.0,8.0,A6,30.6,20.6,26.1,418.0
GMC,SIERRA,PICKUP TRUCK - STANDARD,4.3,6.0,A6,19.3,14.3,17.1,274.0
GMC,SIERRA,PICKUP TRUCK - STANDARD,5.3,8.0,A6,19.9,13.8,17.2,275.0
GMC,SIERRA 4WD,PICKUP TRUCK - STANDARD,4.3,6.0,A6,20.3,15.2,18.0,288.0
GMC,SIERRA 4WD,PICKUP TRUCK - STANDARD,5.3,8.0,A6,20.2,14.3,17.5,280.0
GMC,TERRAIN FFV,SUV - SMALL,2.4,4.0,A6,15.6,10.8,13.4,214.0
GMC,YUKON,SUV - STANDARD,5.3,8.0,A6,20.2,13.6,17.2,275.0
GMC,YUKON 4WD,SUV - STANDARD,5.3,8.0,A6,20.5,14.0,17.6,282.0
GMC,YUKON XL,SUV - STANDARD,5.3,8.0,A6,20.2,13.6,17.2,275.0
GMC,YUKON XL 4WD,SUV - STANDARD,5.3,8.0,A6,22.1,15.4,19.1,306.0
JAGUAR,XFR,MID-SIZE,5.0,8.0,AS8,21.3,14.1,18.1,290.0
JAGUAR,XJ SUPERCHARGED,FULL-SIZE,5.0,8.0,AS8,20.6,13.6,17.5,280.0
JAGUAR,XJL SUPERCHARGED,FULL-SIZE,5.0,8.0,AS8,20.6,13.6,17.5,280.0
JEEP,CHEROKEE FFV,SUV - SMALL,2.4,4.0,A9,15.2,10.2,12.9,206.0
JEEP,CHEROKEE 4X4 FFV,SUV - SMALL,2.4,4.0,A9,15.9,11.0,13.7,219.0
JEEP,GRAND CHEROKEE 4X4 FFV,SUV - STANDARD,3.6,6.0,A8,17.7,13.0,15.6,250.0
JEEP,RENEGADE FFV,SUV - SMALL,2.4,4.0,A9,14.2,9.9,12.2,195.0
LAND ROVER,RANGE ROVER SUPERCHARGED,SUV - STANDARD,5.0,8.0,AS8,25.0,16.9,21.4,342.0
LAND ROVER,RANGE ROVER SUPERCHARGED LWB,SUV - STANDARD,5.0,8.0,AS8,25.0,16.9,21.4,342.0
LAND ROVER,RANGE ROVER SPORT SUPERCHARGED,SUV - STANDARD,5.0,8.0,AS8,24.0,16.6,20.7,331.0
RAM,1500 FFV,PICKUP TRUCK - STANDARD,3.6,6.0,A8,19.4,13.6,16.8,269.0
RAM,1500 4X4 FFV,PICKUP TRUCK - STANDARD,3.6,6.0,A8,20.5,14.5,17.8,285.0
RAM,CARGO VAN FFV,MINIVAN,3.6,6.0,A6,18.6,12.7,15.9,254.0
BUICK,LACROSSE FFV,MID-SIZE,3.6,6.0,AS6,18.7,12.4,15.8,260.0
BUICK,LACROSSE AWD FFV,MID-SIZE,3.6,6.0,AS6,18.5,12.5,15.8,263.0
CHEVROLET,EQUINOX FFV,SUV - SMALL,2.4,4.0,A6,15.6,10.8,13.4,221.0
CHEVROLET,EQUINOX AWD FFV,SUV - SMALL,2.4,4.0,A6,16.3,11.6,14.2,236.0
CHEVROLET,IMPALA FFV,FULL-SIZE,3.6,6.0,AS6,17.0,11.5,14.5,239.0
CHEVROLET,SILVERADO FFV,PICKUP TRUCK - STANDARD,4.3,6.0,A6,19.3,14.4,17.1,284.0
CHEVROLET,SILVERADO FFV,PICKUP TRUCK - STANDARD,5.3,8.0,A6,19.9,14.0,17.2,286.0
CHEVROLET,SILVERADO 4WD FFV,PICKUP TRUCK - STANDARD,4.3,6.0,A6,20.3,15.3,18.1,301.0
CHEVROLET,SILVERADO 4WD FFV,PICKUP TRUCK - STANDARD,5.3,8.0,A6,20.5,14.4,17.8,295.0
CHEVROLET,SUBURBAN FFV,SUV - STANDARD,5.3,8.0,A6,20.5,14.0,17.6,288.0
CHEVROLET,SUBURBAN 4WD FFV,SUV - STANDARD,5.3,8.0,A6,22.2,15.3,19.1,317.0
CHEVROLET,TAHOE FFV,SUV - STANDARD,5.3,8.0,A6,20.5,14.0,17.6,288.0
CHEVROLET,TAHOE 4WD FFV,SUV - STANDARD,5.3,8.0,A6,20.9,14.5,18.0,300.0
CHRYSLER,200 FFV,MID-SIZE,2.4,4.0,A9,13.6,8.5,11.3,186.0
CHRYSLER,200 FFV,MID-SIZE,3.6,6.0,A9,16.5,10.1,13.6,225.0
CHRYSLER,200 AWD FFV,MID-SIZE,3.6,6.0,A9,16.9,10.8,14.1,232.0
CHRYSLER,300 FFV,FULL-SIZE,3.6,6.0,A8,16.8,10.3,13.9,229.0
CHRYSLER,300 AWD FFV,FULL-SIZE,3.6,6.0,A8,17.3,11.7,14.8,243.0
CHRYSLER,TOWN & COUNTRY FFV,MINIVAN,3.6,6.0,A6,19.7,13.3,16.8,279.0
DODGE,CHARGER FFV,FULL-SIZE,3.6,6.0,A5,18.7,12.4,15.9,264.0
DODGE,CHARGER FFV,FULL-SIZE,3.6,6.0,A8,16.8,10.3,13.9,229.0
DODGE,CHARGER AWD FFV,FULL-SIZE,3.6,6.0,A8,17.3,11.7,14.8,243.0
DODGE,DART FFV,MID-SIZE,2.0,4.0,A6,13.3,9.3,11.5,187.0
DODGE,GRAND CARAVAN FFV,MINIVAN,3.6,6.0,A6,19.2,13.1,16.4,269.0
DODGE,JOURNEY FFV,SUV - SMALL,3.6,6.0,A6,18.9,12.9,16.2,270.0
FORD,EXPLORER FFV,SUV - STANDARD,3.5,6.0,AS6,18.7,12.9,16.1,264.0
FORD,EXPLORER FFV AWD,SUV - STANDARD,3.5,6.0,AS6,19.7,14.1,17.2,282.0
FORD,F-150 FFV,PICKUP TRUCK - STANDARD,3.5,6.0,A6,17.9,13.0,15.7,261.0
FORD,F-150 FFV,PICKUP TRUCK - STANDARD,5.0,8.0,AS6,20.6,14.3,17.8,292.0
FORD,F-150 FFV (Payload Pkg),PICKUP TRUCK - STANDARD,5.0,8.0,AS6,20.6,14.3,17.8,293.0
FORD,F-150 FFV 4X4,PICKUP TRUCK - STANDARD,3.5,6.0,A6,19.1,14.3,16.9,278.0
FORD,F-150 FFV 4X4,PICKUP TRUCK - STANDARD,5.0,8.0,AS6,21.6,15.1,18.7,306.0
FORD,F-150 FFV 4X4 (Payload Pkg),PICKUP TRUCK - STANDARD,5.0,8.0,AS6,21.8,15.3,18.8,310.0
FORD,FOCUS FFV,COMPACT,2.0,4.0,AM6,11.9,8.3,10.3,170.0
FORD,FOCUS FFV,COMPACT,2.0,4.0,AS6,12.1,8.6,10.5,175.0
FORD,FOCUS FFV,COMPACT,2.0,4.0,M5,12.3,8.9,10.8,179.0
FORD,T-150 WAGON FFV,VAN - PASSENGER,3.7,6.0,AS6,23.1,18.6,21.0,345.0
FORD,TAURUS FFV,FULL-SIZE,3.5,6.0,AS6,17.6,11.6,14.9,248.0
FORD,TAURUS FFV AWD,FULL-SIZE,3.5,6.0,AS6,18.7,13.3,16.3,271.0
FORD,TRANSIT CONNECT VAN FFV,SPECIAL PURPOSE VEHICLE,2.5,4.0,AS6,16.1,11.8,14.2,233.0
FORD,TRANSIT CONNECT WAGON FFV,SPECIAL PURPOSE VEHICLE,2.5,4.0,AS6,16.8,12.0,14.6,240.0
FORD,TRANSIT CONNECT WAGON LWB FFV,SPECIAL PURPOSE VEHICLE,2.5,4.0,AS6,16.8,12.0,14.6,240.0
GMC,SIERRA FFV,PICKUP TRUCK - STANDARD,4.3,6.0,A6,19.3,14.4,17.1,284.0
GMC,SIERRA FFV,PICKUP TRUCK - STANDARD,5.3,8.0,A6,19.9,14.0,17.2,286.0
GMC,SIERRA 4WD FFV,PICKUP TRUCK - STANDARD,4.3,6.0,A6,20.3,15.3,18.1,301.0
GMC,SIERRA 4WD FFV,PICKUP TRUCK - STANDARD,5.3,8.0,A6,20.5,14.4,17.8,295.0
GMC,TERRAIN FFV,SUV - SMALL,2.4,4.0,A6,15.6,10.8,13.4,221.0
GMC,YUKON FFV,SUV - STANDARD,5.3,8.0,A6,20.5,14.0,17.6,288.0
GMC,YUKON 4WD FFV,SUV - STANDARD,5.3,8.0,A6,20.9,14.5,18.0,300.0
GMC,YUKON XL FFV,SUV - STANDARD,5.3,8.0,A6,20.5,14.0,17.6,288.0
GMC,YUKON XL 4WD FFV,SUV - STANDARD,5.3,8.0,A6,22.2,15.3,19.1,317.0
JEEP,CHEROKEE FFV,SUV - SMALL,2.4,4.0,A9,15.2,10.2,12.9,213.0
JEEP,CHEROKEE 4X4 FFV,SUV - SMALL,2.4,4.0,A9,15.9,11.0,13.7,226.0
JEEP,RENEGADE FFV,SUV - SMALL,2.4,4.0,A9,14.2,9.9,12.2,201.0
MERCEDES-BENZ,CLA 250 4MATIC FFV,COMPACT,2.0,4.0,AS7,13.1,9.8,11.6,198.0
RAM,1500 FFV,PICKUP TRUCK - STANDARD,3.6,6.0,A8,19.4,13.6,16.8,279.0
RAM,1500 4X4 FFV,PICKUP TRUCK - STANDARD,3.6,6.0,A8,20.5,14.5,17.8,296.0
CHEVROLET,EQUINOX FFV,SUV - SMALL,2.4,4.0,A6,15.6,11.0,13.6,223.0
CHEVROLET,EQUINOX AWD FFV,SUV - SMALL,2.4,4.0,A6,16.3,11.8,14.2,234.0
CHEVROLET,IMPALA FFV,FULL-SIZE,3.6,6.0,AS6,17.0,11.7,14.6,240.0
CHEVROLET,SILVERADO FFV,PICKUP TRUCK - STANDARD,4.3,6.0,A6,19.3,14.3,17.1,284.0
CHEVROLET,SILVERADO FFV,PICKUP TRUCK - STANDARD,5.3,8.0,A6,19.7,13.9,17.1,284.0
CHEVROLET,SILVERADO 4WD FFV,PICKUP TRUCK - STANDARD,4.3,6.0,A6,20.2,15.2,18.0,294.0
CHEVROLET,SILVERADO 4WD FFV,PICKUP TRUCK - STANDARD,5.3,8.0,A6,20.7,14.4,17.9,315.0
CHEVROLET,SUBURBAN FFV,SUV - STANDARD,5.3,8.0,A6,20.0,13.5,17.1,284.0
CHEVROLET,SUBURBAN 4WD FFV,SUV - STANDARD,5.3,8.0,A6,22.1,15.4,19.1,317.0
CHEVROLET,TAHOE FFV,SUV - STANDARD,5.3,8.0,A6,20.0,13.5,17.1,284.0
CHEVROLET,TAHOE 4WD FFV,SUV - STANDARD,5.3,8.0,A6,20.8,14.5,18.0,299.0
CHRYSLER,200 FFV,MID-SIZE,2.4,4.0,A9,13.9,8.9,11.7,192.0
CHRYSLER,200 FFV,MID-SIZE,3.6,6.0,A9,16.8,10.4,13.9,230.0
CHRYSLER,200 AWD FFV,MID-SIZE,3.6,6.0,A9,17.1,11.1,14.4,237.0
CHRYSLER,300 AWD FFV,FULL-SIZE,3.6,6.0,A8,17.6,12.0,15.0,248.0
DODGE,CHARGER AWD FFV,FULL-SIZE,3.6,6.0,A8,17.6,12.0,15.0,248.0
DODGE,GRAND CARAVAN FFV,MINIVAN,3.6,6.0,A6,19.4,13.3,16.7,274.0
DODGE,JOURNEY FFV,SUV - SMALL,3.6,6.0,A6,19.1,13.2,16.4,274.0
FORD,ESCAPE FFV,SUV - SMALL,2.5,4.0,AS6,15.2,10.8,13.3,219.0
FORD,EXPLORER FFV,SUV - STANDARD,3.5,6.0,AS6,18.7,12.9,16.1,264.0
FORD,EXPLORER FFV AWD,SUV - STANDARD,3.5,6.0,AS6,19.6,14.2,17.2,284.0
FORD,F-150 FFV,PICKUP TRUCK - STANDARD,3.5,6.0,A6,17.9,13.2,15.8,258.0
FORD,F-150 FFV,PICKUP TRUCK - STANDARD,5.0,8.0,AS6,20.5,14.3,17.7,291.0
FORD,F-150 FFV (Payload Pkg),PICKUP TRUCK - STANDARD,5.0,8.0,AS6,20.5,14.3,17.7,291.0
FORD,F-150 FFV 4X4,PICKUP TRUCK - STANDARD,3.5,6.0,A6,19.0,14.3,16.9,281.0
FORD,F-150 FFV 4X4,PICKUP TRUCK - STANDARD,5.0,8.0,AS6,21.5,15.1,18.6,305.0
FORD,F-150 FFV 4X4 (LT Tire Pkg),PICKUP TRUCK - STANDARD,5.0,8.0,AS6,21.5,15.1,18.6,306.0
FORD,F-150 FFV 4X4 (Payload Pkg),PICKUP TRUCK - STANDARD,5.0,8.0,AS6,22.2,16.5,19.6,326.0
FORD,FOCUS FFV,COMPACT,2.0,4.0,AM6,12.2,8.8,10.6,177.0
FORD,FOCUS FFV,COMPACT,2.0,4.0,AS6,12.4,9.1,10.9,182.0
FORD,FOCUS FFV,COMPACT,2.0,4.0,M5,12.9,9.5,11.4,188.0
FORD,T-150 WAGON FFV,VAN - PASSENGER,3.7,6.0,AS6,23.0,18.5,20.9,343.0
FORD,TAURUS FFV,FULL-SIZE,3.5,6.0,AS6,17.6,11.7,15.0,249.0
FORD,TAURUS FFV AWD,FULL-SIZE,3.5,6.0,AS6,18.7,13.4,16.3,271.0
FORD,TRANSIT CONNECT VAN FFV,SPECIAL PURPOSE VEHICLE,2.5,4.0,AS6,16.1,11.9,14.2,234.0
